hospital,beds,category,street,city,sec,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
"FOUNDATION OF OUR LADY OF PEACE MISSION, INC. (OUR LADY OF PEACE
HOSPITAL)",90,LEVEL 1,"COASTAL ROAD, BRGY. SAN DIONISIO,",PARAÑAQUE,P,"FOUNDATION OF OUR LADY OF PEACE MISSION, INC. (OUR LADY OF PEACE
HOSPITAL), PARAÑAQUE, Metro Manila, Philippines",foundation of our lady of peace mission inc. (our lady of peace hospital) paranaque metro manila philippines,"FOUNDATION OF OUR LADY OF PEACE MISSION, INC. (OUR LADY OF PEACE
HOSPITAL), PARAÑAQUE, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
HEALTHWAY CANCER CARE HOSPITAL,34,LEVEL 3,"LOT 26, BAGSAKAN ROAD, FTI
COMPLEX, WESTERN BICUTAN,",TAGUIG,P,"HEALTHWAY CANCER CARE HOSPITAL, TAGUIG, Metro Manila, Philippines",healthway cancer care hospital taguig metro manila philippines,,14.5027431,121.0480692,google,"ARCA South, South Union Dr, Taguig, 1630 Metro Manila, Philippines",CLEANED|ROOFTOP
HOLYLIFE HOSPITAL,28,LEVEL 1,"19 PRESIDENT QUEZON ST.,
LIFEHOMES SUBD., ROSARIO,",PASIG,P,"HOLYLIFE HOSPITAL, PASIG, Metro Manila, Philippines",holylife hospital pasig metro manila philippines,,14.5920681,121.095712,google,"Pres. Quezon, Pasig, 1609 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"LAS PIÑAS CITY MEDICAL CENTER, INC.",66,LEVEL 2,"1314 MARCOS ALVAREZ AVE., TALON
V,",LAS PIÑAS,P,"LAS PIÑAS CITY MEDICAL CENTER, INC., LAS PIÑAS, Metro Manila, Philippines",las pinas city medical center inc. las pinas metro manila philippines,"LAS PIÑAS CITY MEDICAL CENTER, INC., LAS PIÑAS, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"LAS PIÑAS DOCTORS HOSPITAL, INC.",130,LEVEL 3,"8009 JI AGUILAR AVE., PULANGLUPA 2,",LAS PIÑAS,P,"LAS PIÑAS DOCTORS HOSPITAL, INC., LAS PIÑAS, Metro Manila, Philippines",las pinas doctors hospital inc. las pinas metro manila philippines,"LAS PIÑAS DOCTORS HOSPITAL, INC., LAS PIÑAS, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"LAS PIÑAS GENERAL HOSPITAL & SATELLITE
TRAUMA CENTER",200,LEVEL 3,"BERNABE COMPOUND, PULANG LUPA,",LAS PIÑAS,G,"LAS PIÑAS GENERAL HOSPITAL & SATELLITE
TRAUMA CENTER, LAS PIÑAS, Metro Manila, Philippines",las pinas general hospital & satellite trauma center las pinas metro manila philippines,"LAS PIÑAS GENERAL HOSPITAL & SATELLITE
TRAUMA CENTER, LAS PIÑAS, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
MAKATI LIFE MEDICAL CENTER,70,LEVEL 2,"MALUGAY ST., BRGY. BEL-AIR,",MAKATI,P,"MAKATI LIFE MEDICAL CENTER, MAKATI, Metro Manila, Philippines",makati life medical center makati metro manila philippines,,14.5634889,121.0174936,google,"Malugay, Makati, 1209 Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
MAKATI MEDICAL CENTER,600,LEVEL 3,"2 AMORSOLO ST., LEGASPI VILLAGE,",MAKATI,P,"MAKATI MEDICAL CENTER, MAKATI, Metro Manila, Philippines",makati medical center makati metro manila philippines,,14.559146,121.0145867,google,"2 Amorsolo Street, Legazpi Village, Makati, 1229 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
MANILA NAVAL HOSPITAL,65,LEVEL 1,"NAVAL STATION, JOSE FRANCISCO,
FORT BONIFACIO,",TAGUIG,G,"MANILA NAVAL HOSPITAL, TAGUIG, Metro Manila, Philippines",manila naval hospital taguig metro manila philippines,,14.5302984,121.0316242,google,"G2JJ+4J9, Taguig, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"MEDICAL CENTER MUNTINLUPA, INC.",100,LEVEL 2,"38 NATIONAL ROAD, PUTATAN,",MUNTINLUPA,P,"MEDICAL CENTER MUNTINLUPA, INC., MUNTINLUPA, Metro Manila, Philippines",medical center muntinlupa inc. muntinlupa metro manila philippines,,14.3951053,121.045021,google,"38 National Road, Muntinlupa, 1772 Metro Manila, Philippines",CLEANED|ROOFTOP
"MEDICAL CENTER OF TAGUIG CITY, INC.",80,LEVEL 2,"LOT 1B LEVI B. MARIANO AVENUE,
BRGY. USUSAN,",TAGUIG,P,"MEDICAL CENTER OF TAGUIG CITY, INC., TAGUIG, Metro Manila, Philippines",medical center of taguig city inc. taguig metro manila philippines,,14.5308767,121.0653207,google,"Levi B. Mariano Ave, Taguig, 1630 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"MEDICAL CENTER PARAÑAQUE, INC.",56,LEVEL 2,"DR. A. SANTOS AVE., SUCAT,",PARAÑAQUE,P,"MEDICAL CENTER PARAÑAQUE, INC., PARAÑAQUE, Metro Manila, Philippines",medical center paranaque inc. paranaque metro manila philippines,"MEDICAL CENTER PARAÑAQUE, INC., PARAÑAQUE, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
MISSION HOSPITAL,30,LEVEL 1,"KM. 17 ORTIGAS AVENUE EXTENSION,
ROSARIO,",PASIG,P,"MISSION HOSPITAL, PASIG, Metro Manila, Philippines",mission hospital pasig metro manila philippines,,14.5898229,121.0975159,google,"17 km, 17 km Ortigas Ave, Pasig, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
"OLIVAREZ GENERAL HOSPITAL, INC.",50,LEVEL 1,"DR. A. SANTOS AVENUE, SUCAT ROAD,",PARAÑAQUE,P,"OLIVAREZ GENERAL HOSPITAL, INC., PARAÑAQUE, Metro Manila, Philippines",olivarez general hospital inc. paranaque metro manila philippines,"OLIVAREZ GENERAL HOSPITAL, INC., PARAÑAQUE, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
OSPITAL NG MAKATI,300,LEVEL 3,"SAMPAGUITA ST. COR. GUMAMELA
ST., BRGY. PEMBO,",TAGUIG,G,"OSPITAL NG MAKATI, TAGUIG, Metro Manila, Philippines",ospital ng makati taguig metro manila philippines,,14.5465072,121.0617567,google,"Sampaguita St, Makati City, 1218 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
OSPITAL NG MUNTINLUPA,206,LEVEL 3,"CIVIC DRIVE, FILINVEST CORPORATE
CITY, ALABANG,",MUNTINLUPA,G,"OSPITAL NG MUNTINLUPA, MUNTINLUPA, Metro Manila, Philippines",ospital ng muntinlupa muntinlupa metro manila philippines,,14.4143419,121.0440011,google,"C27V+PJJ Filinvest Corporate City, Civic Dr, Muntinlupa, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
OSPITAL NG PARAÑAQUE,83,LEVEL 1,"440 QUIRINO AVE., LA HUERTA,",PARAÑAQUE,G,"OSPITAL NG PARAÑAQUE, PARAÑAQUE, Metro Manila, Philippines",ospital ng paranaque paranaque metro manila philippines,,14.5004142,120.9911214,google,"GX2R+5C9, Quirino Ave, Parañaque, 1700 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
OSPITAL NG PARAÑAQUE DISTRICT II,70,LEVEL 1,"NO. 187 TAIWAN EXTENSION CORNER DOÑA SOLEDAD AVE., DON BOSCO,",PARAÑAQUE,G,"OSPITAL NG PARAÑAQUE DISTRICT II, PARAÑAQUE, Metro Manila, Philippines",ospital ng paranaque district ii paranaque metro manila philippines,,14.4879623,121.0242283,google,"1709 Doña Soledad Ave, Parañaque, 1709 Metro Manila, Philippines",CLEANED|ROOFTOP
"PAMPLONA HOSPITAL AND MEDICAL CENTER
INC.",48,LEVEL 2,"46 ZAPOTE-ALABANG ROAD,
PAMPLONA",LAS PIÑAS,P,"PAMPLONA HOSPITAL AND MEDICAL CENTER
INC., LAS PIÑAS, Metro Manila, Philippines",pamplona hospital and medical center inc. las pinas metro manila philippines,"PAMPLONA HOSPITAL AND MEDICAL CENTER
INC., LAS PIÑAS, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
PASAY CITY GENERAL HOSPITAL,150,LEVEL 3,"P. BURGOS ST.,",PASAY,G,"PASAY CITY GENERAL HOSPITAL, PASAY, Metro Manila, Philippines",pasay city general hospital pasay metro manila philippines,,14.5492968,121.0009273,google,"P Burgos St, Pasay City, Metro Manila, Philippines",CLEANED|ROOFTOP
"PASIG CITY CHILDREN'S HOSPITAL - CHILD'S
HOPE",64,LEVEL 2,"INDUSTRIA ST., COR. ALCALDE JOSE ST.,
KAPASIGAN,",PASIG,G,"PASIG CITY CHILDREN'S HOSPITAL - CHILD'S
HOPE, PASIG, Metro Manila, Philippines",pasig city children's hospital - child's hope pasig metro manila philippines,"PASIG CITY CHILDREN'S HOSPITAL - CHILD'S
HOPE, PASIG, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
PASIG CITY GENERAL HOSPITAL,200,LEVEL 3,"M. EUSEBIO AVENUE, MAYBUNGA,",PASIG,G,"PASIG CITY GENERAL HOSPITAL, PASIG, Metro Manila, Philippines",pasig city general hospital pasig metro manila philippines,,14.5721974,121.0991899,google,"Pasig City General Hospital, Pasig, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
PASIG DOCTORS MEDICAL CENTER INC.,66,LEVEL 2,"254 AMANG RODRIGUEZ AVENUE,
MANGGAHAN,",PASIG,P,"PASIG DOCTORS MEDICAL CENTER INC., PASIG, Metro Manila, Philippines",pasig doctors medical center inc. pasig metro manila philippines,"PASIG DOCTORS MEDICAL CENTER INC., PASIG, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"POPE JOHN PAUL II HOSPITAL AND MEDICAL
CENTER, INC.",100,LEVEL 2,"545 ALABANG-ZAPOTE ROAD, TALON III",LAS PIÑAS,P,"POPE JOHN PAUL II HOSPITAL AND MEDICAL
CENTER, INC., LAS PIÑAS, Metro Manila, Philippines",pope john paul ii hospital and medical center inc. las pinas metro manila philippines,"POPE JOHN PAUL II HOSPITAL AND MEDICAL
CENTER, INC., LAS PIÑAS, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"RECUENCO GENERAL HOSPITAL, INC.",12,LEVEL 1,"68 SAMPALOC EXTENSION, NORTH
SIGNAL VILLAGE,",TAGUIG,P,"RECUENCO GENERAL HOSPITAL, INC., TAGUIG, Metro Manila, Philippines",recuenco general hospital inc. taguig metro manila philippines,"RECUENCO GENERAL HOSPITAL, INC., TAGUIG, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"RESEARCH INSTITUTE FOR TROPICAL
MEDICINE",50,LEVEL 3,"9002 RESEARCH DRIVE, FILINVEST CORPORATE CITY, ALABANG,",MUNTINLUPA,G,"RESEARCH INSTITUTE FOR TROPICAL
MEDICINE, MUNTINLUPA, Metro Manila, Philippines",research institute for tropical medicine muntinlupa metro manila philippines,,14.4098743,121.0371729,google,"9002 Research Dr, Muntinlupa, 1781 Metro Manila, Philippines",CLEANED|ROOFTOP
RIZAL MEDICAL CENTER,300,LEVEL 3,"PASIG BOULEVARD, BAGONG ILOG,",PASIG,G,"RIZAL MEDICAL CENTER, PASIG, Metro Manila, Philippines",rizal medical center pasig metro manila philippines,,14.5638837,121.0660877,google,"Pasig Blvd, Pasig, 1600 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"SALVE REGINA GENERAL HOSPITAL, INC.",50,LEVEL 1,"LOT A2A, MARCOS HIGHWAY, DELA
PAZ,",PASIG,P,"SALVE REGINA GENERAL HOSPITAL, INC., PASIG, Metro Manila, Philippines",salve regina general hospital inc. pasig metro manila philippines,,14.6199475,121.0963324,google,"J39W+XGG, Marikina-Infanta Hwy, Pasig, 1800 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"SAN JUAN DE DIOS EDUCATIONAL
FOUNDATION, INC.",230,LEVEL 3,"2772 ROXAS BLVD.,",PASAY,P,"SAN JUAN DE DIOS EDUCATIONAL
FOUNDATION, INC., PASAY, Metro Manila, Philippines",san juan de dios educational foundation inc. pasay metro manila philippines,,14.5378892,120.9930321,google,"2774 Roxas Blvd, Pasay City, 1300 Metro Manila, Philippines",CLEANED|ROOFTOP
SOUTH SUPERHIGHWAY MEDICAL CENTER,50,LEVEL 2,"KM.17, WEST SERVICE ROAD, BRGY. MARCELO,",PARAÑAQUE,P,"SOUTH SUPERHIGHWAY MEDICAL CENTER, PARAÑAQUE, Metro Manila, Philippines",south superhighway medical center paranaque metro manila philippines,,14.47494,121.0448768,google,"KM 17 W Service Rd, Parañaque, 1700 Metro Manila, Philippines",CLEANED|ROOFTOP
ST. CAMILLUS MEDICAL CENTER,24,LEVEL 2,"116 E. AMANG RODRIGUEZ AVENUE,
SANTOLAN,",PASIG,P,"ST. CAMILLUS MEDICAL CENTER, PASIG, Metro Manila, Philippines",street. camillus medical center pasig metro manila philippines,"ST. CAMILLUS MEDICAL CENTER, PASIG, Metro Manila, Philippines, Metro Manila, Philippines",14.6121254,121.091848,google,"116 Eulogio Amang Rodriguez Ave, Pasig, 1610 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
"ST. CHRISTIANA HOSPITAL, INC.",10,LEVEL 1,"3338 KAGINHAWAAN RD., KARANGALAN VILLAGE, MANGGAHAN,",PASIG,P,"ST. CHRISTIANA HOSPITAL, INC., PASIG, Metro Manila, Philippines",street. christiana hospital inc. pasig metro manila philippines,"ST. CHRISTIANA HOSPITAL, INC., PASIG, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"ST. CLARE'S MEDICAL CENTER, INC.",27,LEVEL 2,"1838 DIAN ST.,  PALANAN,",MAKATI,P,"ST. CLARE'S MEDICAL CENTER, INC., MAKATI, Metro Manila, Philippines",street. clare's medical center inc. makati metro manila philippines,"ST. CLARE'S MEDICAL CENTER, INC., MAKATI, Metro Manila, Philippines, Metro Manila, Philippines",14.5630214,121.0013216,google,"1838 Dian St, Makati City, 1235 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
ST. LUKE'S MEDICAL CENTER - GLOBAL CITY,528,LEVEL 3,"RIZAL DRIVE CORNER 32ND STREET AND 5TH AVENUE, BONIFACIO GLOBAL
CITY,",TAGUIG,P,"ST. LUKE'S MEDICAL CENTER - GLOBAL CITY, TAGUIG, Metro Manila, Philippines",street. luke's medical center - global city taguig metro manila philippines,"ST. LUKE'S MEDICAL CENTER - GLOBAL CITY, TAGUIG, Metro Manila, Philippines, Metro Manila, Philippines",14.5550704,121.0482642,google,"5th Ave, Makati City, 1634 Metro Manila, Philippines",FALLBACK_FULL|GEOMETRIC_CENTER
TAGIG DOCTORS HOSPITAL,8,INF/DISP,"184 MANUEL L. QUEZON ST.,
BAGUMBAYAN,",TAGUIG,P,"TAGIG DOCTORS HOSPITAL, TAGUIG, Metro Manila, Philippines",tagig doctors hospital taguig metro manila philippines,,14.478894,121.061018,google,"184 M. L. Quezon Street Bagum Bayan, Taguig, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
TAGUIG-PATEROS DISTRICT HOSPITAL,110,LEVEL 1,"EAST SERVICE ROAD, WESTERN
BICUTAN,",TAGUIG,G,"TAGUIG-PATEROS DISTRICT HOSPITAL, TAGUIG, Metro Manila, Philippines",taguig-pateros district hospital taguig metro manila philippines,,14.5108615,121.0343406,google,"E Service Rd, Taguig, 1630 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
THE MEDICAL CITY,522,LEVEL 3,"THE MEDICAL CITY COMPOUND, DON EUGENIO LOPEZ SR. MEDICAL
COMPLEX ORTIGAS AVENUE,",PASIG,P,"THE MEDICAL CITY, PASIG, Metro Manila, Philippines",the medical city pasig metro manila philippines,"THE MEDICAL CITY, PASIG, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
THE PREMIER MEDICAL CENTER,40,LEVEL 2,"LOT 2 AMVEL BUSINESS PARK, DR. A. SANTOS AVE., BRGY. SAN DIONISIO,
SUCAT ROAD,",PARAÑAQUE,P,"THE PREMIER MEDICAL CENTER, PARAÑAQUE, Metro Manila, Philippines",the premier medical center paranaque metro manila philippines,,14.4886784,120.9930975,google,"Business, Parañaque, 1715 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"TRICITY MEDICAL CENTER, INC.",100,LEVEL 2,"269 C. RAYMUNDO AVENUE,
MAYBUNGA,",PASIG,P,"TRICITY MEDICAL CENTER, INC., PASIG, Metro Manila, Philippines",tricity medical center inc. pasig metro manila philippines,,14.5759104,121.0851914,google,"269 C. Raymundo Ave, Pasig, 1607 Metro Manila, Philippines",CLEANED|ROOFTOP
"UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC.",94,LEVEL 2,"175 DOÑA SOLEDAD AVE.,
BETTERLIVING SUBD.,",PARAÑAQUE,P,"UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC., PARAÑAQUE, Metro Manila, Philippines",uhbi-paranaque doctors hospital inc. paranaque metro manila philippines,"UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC., PARAÑAQUE, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"UNIHEALTH PARAÑAQUE HOSPITAL AND
MEDICAL CENTER, INC.",100,LEVEL 2,"DR. A SANTOS AVENUE, BRGY. SAN
ISIDRO, SUCAT ROAD,",PARAÑAQUE,P,"UNIHEALTH PARAÑAQUE HOSPITAL AND
MEDICAL CENTER, INC., PARAÑAQUE, Metro Manila, Philippines",unihealth paranaque hospital and medical center inc. paranaque metro manila philippines,"UNIHEALTH PARAÑAQUE HOSPITAL AND
MEDICAL CENTER, INC., PARAÑAQUE, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER, INC.",285,LEVEL 3,"ALABANG ZAPOTE ROAD, PAMPLONA TRES",LAS PIÑAS,P,"UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER, INC., LAS PIÑAS, Metro Manila, Philippines",university of perpetual help dalta medical center inc. las pinas metro manila philippines,"UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER, INC., LAS PIÑAS, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
