title,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
"FOR SALE! Fully Furnished 1BR unit with FLEX in Park Terraces Point Tower, Makati City",Park Terraces,Park Terraces,80 sqm,80 sqm,"₱ 26,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,20,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/park-terraces/,Seatherny Real Estate
"1 Bedroom For Sale in One Rockwell East, Makati City",,,68 sqm,68 sqm,"₱ 20,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,2011,,Freehold,,Eva Marzan
Joya South | One Bedroom 1BR For Sale - #8861,Joya South Tower,Joya South Tower,46 sqm,46 sqm,"₱ 16,000,000","Bangkal, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/41032-73-b15d9b278acd-72e8-c2ad5ae5-a9d1-4284,Kat Everbright AO
Edades Suites | Three Bedroom 3BR Condo Unit For Sale - #8631,Edades Suites,Edades Suites,237 sqm,237 sqm,"₱ 135,000,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/edades-suites/,Kat Everbright AO
Kroma Tower | One Bedroom 1BR Condo Unit For Sale - #8072,Kroma Tower,Kroma Tower,59 sqm,59 sqm,"₱ 12,000,000","Legazpi Village, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/kroma-tower/,Kat Everbright AO
"Condo for Sale in Magallanes, Makati Rent-to-Own Ready for Occupancy 1 bedroom",San Lorenzo Place,San Lorenzo Place,25 sqm,25 sqm,,"Bangkal, Makati",1 bedroom,1 bathroom,24,Partly furnished,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Denise-Anne Gwyneth Masangkay Matriano
Clean Title Furnished 3BR with 2 Parking FOR SALE at Pacific Plaza Condominium Urdaneta Makati,Pacific Plaza,Pacific Plaza,289 sqm,289 sqm,"₱ 68,000,000","Urdaneta, Makati",3 bedrooms,3 bathrooms,20,Partly furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/pacific-plaza/,Aurea Caampued
"THE FORTIS RESIDENCES - 1BR PRE-SELLING for sale in Chino Roces Avenue, Makati City",Fortis Residences,Fortis Residences,55 sqm,55 sqm,"₱ 14,140,000","Bangkal, Makati",1 bedroom,1 bathroom,10,Unfurnished,Condo,For Sale,2027,,Freehold,https://www.lamudi.com.ph/projects/fortis-residences/,Roberto Siriban Jr
"1 Bed Room in Jade Residences by SMDC near Glorietta, WalterMart, GreenBelt, Ayala and Magallanes Station, Cash and Carry, Sm Makati, power plant",SMDC Jade Residences,SMDC Jade Residences,24 sqm,24 sqm,"₱ 18,900","Bangkal, Makati",1 bedroom,1 bathroom,10,Unfurnished,Condo,For Sale,2024,,Freehold,https://www.lamudi.com.ph/projects/smdc-jade-residences/,SMDC Heights - Team Apex
Pasig Greenwoods Brand New House for Sale. BIG LOT 235 sqm,Proscenium at Rockwell,Proscenium at Rockwell,235 sqm,334 sqm,"₱ 25,000,000","Guadalupe Viejo, Makati",5 bedrooms,4 bathrooms,3,Partly furnished,Condo,For Sale,2025,3,Freehold,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,Property Collective PH (PCPH Realty and Property Management Services)
1 Bedroom Condo unit For Sale in Trump Tower at Makati Century City,Trump Tower,Trump Tower,,95 sqm,"₱ 23,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,3,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/trump-tower/,Jared Dimangondayao
FURNISHED 1BR UNIT WITH PARKING FOR SALE IN ONE ROCKWELL,,,,71 sqm,"₱ 22,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,,,HousingInteractive Inc.
SEMI-FURNISHED 3BR UNIT WITH 2 PARKINGS FOR SALE IN GARDEN TOWERS,,,,218 sqm,"₱ 76,000,000","San Lorenzo, Makati",3 bedrooms,3 bathrooms,54,Partly furnished,Condo,For Sale,,2,,,HousingInteractive Inc.
FULLY FURNISHED 3BR UNIT WITH PARKING FOR SALE IN TWO ROXAS TRIANGLE,,,,304 sqm,"₱ 145,000,000","Urdaneta, Makati",3 bedrooms,3 bathrooms,21,Fully furnished,Condo,For Sale,,1,,,HousingInteractive Inc.
"Good deal! 2BR Loft  unit with balcony in One Rockwell West Tower, Rockwell Center Makati City",,,95 sqm,95 sqm,"₱ 28,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,41,,Loft,For Sale,,1,,,Rizan Dungganon
2Br 38sqm Rent to Own Condo in Makati San Lorenzo Place nr Makati Magallanes NAIA Edsa Pasay Manila Taguig Mrt Lrt Bgc Ayala,San Lorenzo Place,San Lorenzo Place,38 sqm,4 sqm,"₱ 2,418,000","Bangkal, Makati",2 bedrooms,1 bathroom,18,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
Makati Condo 2BEDROOM San Lorenzo Place Rent to Own in Makati Mrt Lrt Edsa Pasay Pasig Ortigas Taguig Ayala Manila Naia,San Lorenzo Place,San Lorenzo Place,38 sqm,4 sqm,"₱ 2,800,000","Bangkal, Makati",2 bedrooms,1 bathroom,15,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
For Sale 1 Bedroom in One Central Makati near RCBC Plaza | Best Realtor,,,,46 sqm,"₱ 7,900,000","Bel-Air, Makati",1 bedroom,1 bathroom,17,Fully furnished,Condo,For Sale,,,,,Best Realtor
"Bargain For Sale Studio in One Central, Makati near RCBC, LKG, Banks | Best Realtor",,,,32 sqm,"₱ 5,250,000","Bel-Air, Makati",,1 bathroom,39,Fully furnished,Condo,For Sale,,,,,Best Realtor
1Br Makati Condo Rfo San Lorenzo Place Rent to Own in Naia Taguig Ayala Lrt Mrt Edsa Pasay Edsa,San Lorenzo Place,San Lorenzo Place,26 sqm,4 sqm,"₱ 3,015,000","Bangkal, Makati",1 bedroom,1 bathroom,30,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
"For Sale and Lease 1 bedroom in Salcedo, Bel-Air, Makati beside RCBC | Best Realtor",,,,46 sqm,,"Bel-Air, Makati",1 bedroom,1 bathroom,19,Fully furnished,Condo,Buy & Rent,,,,,Best Realtor
"For Sale1BR Unit in One Central, Salcedo, Bel-Air, Makati | Best Realtor",,,,49 sqm,"₱ 7,800,000","Bel-Air, Makati",1 bedroom,1 bathroom,9,Fully furnished,Condo,For Sale,,,,,Best Realtor
"Rush For Sale 1 Bedroom in One Central, Makati | Best Realtor",,,,49 sqm,"₱ 8,000,000","Bel-Air, Makati",1 bedroom,1 bathroom,46,Fully furnished,Condo,For Sale,,,,,Best Realtor
"For sale Clean Title 1 Bedroom in One Central, Salcedo, Makati | Best Realtor",,,,46 sqm,"₱ 6,800,000","Bel-Air, Makati",1 bedroom,1 bathroom,46,Fully furnished,Condo,For Sale,,,,,Best Realtor
"Signa Designer Residences | Two Bedroom 2BR Condo Unit for Sale in Signa Designer Residences, Salcedo Village, Makati City",,,60 sqm,60 sqm,"₱ 10,000,000","Bel-Air, Makati",2 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,,,,Zach Pe
"Pacific Plaza Condominiums, 3-Bedroom Unit for Sale, Makati City",Pacific Plaza,Pacific Plaza,,289 sqm,"₱ 68,000,000","Urdaneta, Makati",3 bedrooms,3 bathrooms,,Partly furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/pacific-plaza/,Skye Properties - RE/MAX 8
3-Bedroom Luxury in ELURIA MAKATI – Where Luxury Meets Exclusivity,,,294 sqm,294 sqm,"₱ 166,000,000","Legazpi Village, Makati",3 bedrooms,3 bathrooms,12,Partly furnished,Condo,For Sale,,3,Freehold,,PH/PRO Realty
Eluria Makati – Ultra-Luxury 3-Bedroom Residence with 3 Parking Slots,,,294 sqm,294 sqm,"₱ 166,000,000","Legazpi Village, Makati",3 bedrooms,3 bathrooms,12,Partly furnished,Condo,For Sale,,3,Freehold,,PH PRO REALTY
Eluria Makati – Ultra-Luxury 3-Bedroom Residence with 3 Parking Slots,,,288 sqm,288 sqm,"₱ 160,000,000","Legazpi Village, Makati",3 bedrooms,3 bathrooms,12,Partly furnished,Condo,For Sale,,3,Freehold,,PH/PRO Realty
3BR Unit For Sale - Forbes Tower,Forbes Tower Condominium,Forbes Tower Condominium,,257 sqm,"₱ 43,000,000","Bel-Air, Makati",3 bedrooms,2 bathrooms,43,Fully furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/forbes-tower-condominium/,Veronica Ginez
"Ultra-Luxury 3-Bedroom Residence at Eluria, Makati City",,,288 sqm,288 sqm,"₱ 160,000,000","Legazpi Village, Makati",3 bedrooms,3 bathrooms,12,Partly furnished,Condo,For Sale,,3,Freehold,,PH PRO REALTY
"Brand New 3-Bedroom Penthouse for Sale in Two Roxas Triangle, Makati City",,,,493 sqm,"₱ 350,000,000","Urdaneta, Makati",3 bedrooms,,,,Penthouse,For Sale,,4,,,PhilPro Real Estate
"GREENBELT MADISON MAKATI
Priced Below Zonal Value Studio",,,,36 sqm,"₱ 5,900,000","Makati, Metro Manila",1 bedroom,,,Fully furnished,Studio,For Sale,,,,,RUSH DEAL PH
RUSH For Sale: 2-Bedroom Unit Rockwell Joya South,,,93 sqm,93 sqm,"₱ 27,000,000","Makati, Metro Manila",2 bedrooms,1 bathroom,10,,Condo,For Sale,,1,,,Real Estate Consultancy PH
"SKYLAND PLAZA
Senior-Friendly 4BR Facing Ayala Avenue",,,,300 sqm,"₱ 42,000,000","Urdaneta, Makati",4 bedrooms,4 bathrooms,300,Fully furnished,Condo,For Sale,,2,,,RUSH DEAL PH
"THREE SALCEDO PLACE
Furnished 3BR facing Salcedo Park",,,,184 sqm,"₱ 55,000,000","Urdaneta, Makati",3 bedrooms,,184,Fully furnished,Condo,For Sale,,2,,,RUSH DEAL PH
FULLY FURNISHED 2BR UNIT WITH 2 PARKINGS FOR SALE IN PROSCENIUM RESIDENCES,,,,121 sqm,"₱ 52,000,000","Guadalupe Viejo, Makati",2 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,2,,,HousingInteractive Inc.
FULLY FURNISHED 2BR UNIT WITH 2 PARKINGS FOR SALE IN THE PROSCENIUM RESIDENCES,,,,121 sqm,"₱ 52,000,000","Guadalupe Viejo, Makati",2 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,2,,,HousingInteractive Inc.
GOOD DEAL! Corner 3BR with 2 Individual Parking Slots The Residences at Greenbelt Laguna Tower,The Residences at Greenbelt,The Residences at Greenbelt,3 sqm,3 sqm,"₱ 54,500,000","Legazpi Village, Makati",,,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-residences-at-greenbelt/,Demi Dela Cruz
"4-Bedroom Condo Unit for sale in Kingswood Condominium, Makati City",,,,154 sqm,"₱ 20,000,000","La Paz, Makati",4 bedrooms,,,,Condo,For Sale,,,,,PhilPro Real Estate
"Studio Condo Unit for Sale in Avida Tower 1, Makati City",,,,22 sqm,"₱ 3,500,000","Pio Del Pilar, Makati",,,,Unfurnished,Condo,For Sale,,,,,PhilPro Real Estate
"BSA SUITES, LEGAZPI VILLAGE
Priced at Zonal Value 1BR with Parking",,,,44 sqm,"₱ 7,800,000","Urdaneta, Makati",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,,,,,RUSH DEAL PH
Greenbelt Excelsior | Two Bedroom 2BR Condo Unit For Rent/Sale - #3643,,,,75 sqm,,"Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,Buy & Rent,,1,,,Everbright Real Estate
"DISCOVERY PRIMEA
Breathtaking 3BR Corner Unit",,,,386 sqm,"₱ 180,000,000","Urdaneta, Makati",3 bedrooms,5 bathrooms,386,Fully furnished,Condo,For Sale,,3,,,RUSH DEAL PH
"Pre-Selling 2-Bedroom Condo for Sale in Edades West Tower, Makati City",,,,130 sqm,"₱ 74,750,000","Makati, Metro Manila",2 bedrooms,,,,Condo,For Sale,,1,,,PhilPro Real Estate
"Pre-Selling 2-Bedroom Condo for Sale in Edades West Tower, Makati City",,,,123 sqm,"₱ 74,777,850","Makati, Metro Manila",2 bedrooms,,,,Condo,For Sale,,1,,,PhilPro Real Estate
"Pre-Selling 2-Bedroom Condo for Sale in Edades West Tower, Makati City",,,,106 sqm,"₱ 60,950,000","Makati, Metro Manila",2 bedrooms,,,,Condo,For Sale,,1,,,PhilPro Real Estate
"Pre-Selling 2-Bedroom Condo for Sale in Edades West Tower, Makati City",,,,133 sqm,"₱ 83,783,350","Makati, Metro Manila",2 bedrooms,,,,Condo,For Sale,,2,,,PhilPro Real Estate
"Pre-Selling 2-Bedroom Condo for Sale in Edades West Tower, Makati City",,,,133 sqm,"₱ 81,495,750","Makati, Metro Manila",2 bedrooms,,,,Condo,For Sale,,2,,,PhilPro Real Estate
"Pre-Selling 2-Bedroom Condo for Sale in Edades West Tower, Makati City",,,,133 sqm,"₱ 81,352,775","Makati, Metro Manila",2 bedrooms,,,,Condo,For Sale,,2,,,PhilPro Real Estate
"Pre-Selling 2-Bedroom Condo for Sale in Edades West Tower, Makati City",,,,133 sqm,"₱ 81,209,800","Makati, Metro Manila",2 bedrooms,,,,Condo,For Sale,,2,,,PhilPro Real Estate
"2-Bedroom Condo Unit for Sale in Brio Tower, Makati City",,,,57 sqm,"₱ 10,000,000","Guadalupe Viejo, Makati",2 bedrooms,,,Unfurnished,Condo,For Sale,,2,,,PhilPro Real Estate
For Sale 2BBR condo unit in TRAG Makati,The Residences at Greenbelt,The Residences at Greenbelt,,133 sqm,"₱ 35,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,28,Partly furnished,Condo,For Sale,2008,2,Freehold,https://www.lamudi.com.ph/projects/the-residences-at-greenbelt/,Patrick Meris
"FOR SALE or FOR LEASE: 2-Bedroom Condo Unit | The Lerato Tower 2, Makati",The Lerato,The Lerato,78 sqm,78 sqm,,"Bel-Air, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,Buy & Rent,,1,,https://www.lamudi.com.ph/projects/lerato/,Santos Knight Frank
"3-Bedroom Condo Unit for Sale in The Estate, Makati City",,,,280 sqm,"₱ 159,600,000","Urdaneta, Makati",3 bedrooms,3 bathrooms,,,Condo,For Sale,,3,,,PhilPro Real Estate
"3-Bedroom Condo Unit for Sale in Park Central Towers, South Tower, Makati City",,,,303 sqm,"₱ 186,352,000","Urdaneta, Makati",3 bedrooms,,,,Condo,For Sale,,3,,,PhilPro Real Estate
THE RISE MAKATI Unit 45M – West Wing,The Rise Makati,The Rise Makati,28 sqm,28 sqm,"₱ 7,000,000","San Antonio, Makati",1 bedroom,1 bathroom,4,Fully furnished,Condo,For Sale,2020,1,Freehold,https://www.lamudi.com.ph/projects/the-rise-makati/,SYK Holdings Limited Inc 2
"2-Bedroom Condo Unit for Sale in Park Central Towers, North Tower, Makati City",,,,144 sqm,"₱ 104,055,000","Urdaneta, Makati",2 bedrooms,,,,Condo,For Sale,,2,,,PhilPro Real Estate
Grand Soho Makati Spacious Studio with Balcony Bel-air Village View Rush For Sale!,Grand Soho Makati,Grand Soho Makati,29 sqm,29 sqm,"₱ 5,900,000","Bel-Air, Makati",1 bedroom,1 bathroom,27,Partly furnished,Studio,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/grand-soho-makati/,Apphia Realty
"The Residences at Greenbelt, 2-Bedroom Unit for Sale, Makati City",The Residences at Greenbelt,The Residences at Greenbelt,,133 sqm,"₱ 35,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/the-residences-at-greenbelt/,Skye Properties - RE/MAX 8
Stunning 1 Bedroom 1BR Interior Decorated Unit for Sale in Shang Salcedo Place Makati City,Shang Salcedo Place,Shang Salcedo Place,73 sqm,73 sqm,"₱ 22,793,447","Bel-Air, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/shang-salcedo-place/,Rhonalyn Sinag
Rare Flat 2 Bedroom 2BR Unit for Sale in One Rockwell Makati City!,One Rockwell,One Rockwell,78 sqm,78 sqm,"₱ 27,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/one-rockwell/,Rhonalyn Sinag
BARE 3-BEDROOM CONDO IN THE SALCEDO PARK CONDOMINIUM,The Salcedo Park Condominum,The Salcedo Park Condominum,180 sqm,180 sqm,"₱ 32,000,000","Bel-Air, Makati",3 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/41032-73-38bea5f6aa94-9311-18a62f4b-bda7-4090,Rhonalyn Sinag
"Eluria Makati – Ultra-Luxury, Multi-Certified Residences with White-Glove Service",Eluria,Eluria,288 sqm,288 sqm,"₱ 167,527,620","Legazpi Village, Makati",3 bedrooms,4 bathrooms,1,Partly furnished,Condo,For Sale,2025,1,Freehold,https://www.lamudi.com.ph/projects/eluria/,Carl Cabasag
"Joya Lofts and Towers, 1-Bedroom Unit for Sale, Makati City",Joya Lofts and Towers,Joya Lofts and Towers,,60 sqm,"₱ 20,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/joya-lofts-and-towers/,Skye Properties - RE/MAX 8
"2 Bedroom For Sale in The Columns, Makati CIty",The Columns At Legaspi Village,The Columns At Legaspi Village,74 sqm,74 sqm,"₱ 24,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,2025,1,Leasehold,https://www.lamudi.com.ph/projects/41032-73-510396c81649-5786-85397ec6-a127-4d08,Eva Marzan
"1 Bedroom For Sale in Air Residences, Makati City",Air Residences,Air Residences,,26 sqm,"₱ 6,000,000","San Antonio, Makati",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/air-residences/,Malou Suerte
1 Bedroom For Rent Condo in Makati City Near Makati Medical Center,Paseo De Roces,Paseo De Roces,25 sqm,25 sqm,"₱ 18,000","Pio Del Pilar, Makati",1 bedroom,1 bathroom,22,Fully furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/paseo-de-roces/,Property by Jeann & Ruffa
"3BR IN TRUMP TOWER, MAKATI CTIY, 200SQM",Trump Tower,Trump Tower,200 sqm,200 sqm,"₱ 72,000,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,40,Fully furnished,Condo,For Sale,2017,2,Freehold,https://www.lamudi.com.ph/projects/trump-tower/,RE/MAX ONE
Paseo de Roces for Rent Condo in Makati City 1 bedroom,Paseo De Roces,Paseo De Roces,25 sqm,25 sqm,"₱ 18,000","Pio Del Pilar, Makati",1 bedroom,1 bathroom,22,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/paseo-de-roces/,Property by Jeann & Ruffa
For Rent Condo in Makati City Near Legazpi Park,Paseo De Roces,Paseo De Roces,25 sqm,25 sqm,"₱ 18,000","Pio Del Pilar, Makati",1 bedroom,1 bathroom,22,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/paseo-de-roces/,Property by Jeann & Ruffa
For Rent Condo in Makati City Near Waltermart Makati,Paseo De Roces,Paseo De Roces,25 sqm,25 sqm,"₱ 18,000","Pio Del Pilar, Makati",1 bedroom,1 bathroom,22,Fully furnished,Condo,For Sale,,,Leasehold,https://www.lamudi.com.ph/projects/paseo-de-roces/,Property by Jeann & Ruffa
For Rent Condo in Makati City Near Waltermart Makati,Paseo De Roces,Paseo De Roces,25 sqm,25 sqm,"₱ 18,000","Pio Del Pilar, Makati",1 bedroom,1 bathroom,22,Fully furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/paseo-de-roces/,Property by Jeann & Ruffa
For Rent Condo in Makati City Near Waltermart Makati,Paseo De Roces,Paseo De Roces,25 sqm,25 sqm,"₱ 18,000","Pio Del Pilar, Makati",1 bedroom,1 bathroom,22,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/paseo-de-roces/,Property by Jeann & Ruffa
"2 Bedroom For Sale in The Columns, Makati City",The Columns At Legaspi Village,The Columns At Legaspi Village,74 sqm,74 sqm,"₱ 24,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,2025,1,Leasehold,https://www.lamudi.com.ph/projects/41032-73-510396c81649-5786-85397ec6-a127-4d08,Adel Infinity
"2 Bedroom For Sale in The Columns, Makati CIty",The Columns At Legaspi Village,The Columns At Legaspi Village,74 sqm,74 sqm,"₱ 24,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,1,Leasehold,https://www.lamudi.com.ph/projects/41032-73-510396c81649-5786-85397ec6-a127-4d08,Leonelyn Infinity
"Corner Condo for Sale in The Beacon - Amorsolo Tower 3, Makati City",,,,48 sqm,"₱ 10,000,000","Pio Del Pilar, Makati",2 bedrooms,,,Fully furnished,Condo,For Sale,,1,,,PhilPro Real Estate
"Low-Rise 3-Bedroom Condo Unit for Sale in One Antonio, Makati City",,,,62 sqm,"₱ 22,000,000","San Antonio, Makati",3 bedrooms,,,,Condo,For Sale,,1,,,PhilPro Real Estate
"2-Bedroom Condo Unit for Sale in The Lerato Condo, Makati City",,,,78 sqm,"₱ 18,500,000","Bel-Air, Makati",2 bedrooms,,,,Condo,For Sale,,1,,,PhilPro Real Estate
"Rare 3-Bedroom Condo Unit for Sale in Two Roxas Triangle, Makati City",,,,331 sqm,"₱ 222,000,000","Urdaneta, Makati",3 bedrooms,4 bathrooms,,,Condo,For Sale,,3,,,PhilPro Real Estate
"Condo for Sale in Magallanes, Makati Rent-to-Own Ready for Occupancy",San Lorenzo Place,San Lorenzo Place,38 sqm,38 sqm,,"Bangkal, Makati",2 bedrooms,1 bathroom,22,Partly furnished,Condo,Buy & Rent,2014,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Denise-Anne Gwyneth Masangkay Matriano
"2 Bedroom For Sale & Lease In Joya North, Makati City",Joya Lofts and Towers,Joya Lofts and Towers,93 sqm,93 sqm,,"Makati, Metro Manila",2 bedrooms,2 bathrooms,5,Fully furnished,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/joya-lofts-and-towers/,Haidee Infinity
FOR SALE: RENOVATED STUDIO UNIT AT THE RISE MAKATI,The Rise Makati,The Rise Makati,28 sqm,28 sqm,"₱ 5,000,000","San Antonio, Makati",1 bedroom,1 bathroom,17,Fully furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/the-rise-makati/,Raymond Tiongson
"1 Bedroom Condo Unit for Sale in Signa Designer Residences, Makati",,,,56 sqm,"₱ 15,000,000","Bel-Air, Makati",1 bedroom,2 bathrooms,,,Condo,For Sale,,1,Freehold,,Realus Realtors
𝟏𝐁𝐑 𝐔𝐧𝐢𝐭 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐚𝐭 𝐀𝐳𝐨𝐭𝐞𝐚 𝐁𝐞𝐥-𝐀𝐢𝐫 𝐢𝐧 𝐌𝐚𝐤𝐚𝐭𝐢 𝐂𝐢𝐭𝐲,,,25 sqm,25 sqm,"₱ 4,000,000","Bel-Air, Makati",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,,,Jared Dimangondayao
"2 Bedroom For Sale in The Residences at Greenbelt (TRAG), Laguna Tower, Makati City",,,133 sqm,133 sqm,"₱ 35,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,,,,Haidee Infinity
"2 Bedroom For Sale in Park Terraces, Makati City",,,127 sqm,127 sqm,"₱ 52,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,,Condo,For Sale,,1,,,Haidee Infinity
3 Bedroom Suite for RENT/SALE in Makati Palace Hotel,Makati Palace Hotel,Makati Palace Hotel,140 sqm,140 sqm,,"Makati, Metro Manila",3 bedrooms,3 bathrooms,0,Fully furnished,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/makati-palace-hotel/,Swire Corporation 5
3 Bedroom Suite for RENT/SALE in Makati Palace Hotel,Makati Palace Hotel,Makati Palace Hotel,76 sqm,76 sqm,,"Makati, Metro Manila",3 bedrooms,3 bathrooms,0,Fully furnished,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/makati-palace-hotel/,Swire Corporation 5
