hospital,beds,category,street,city,sec,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
UP-PHILIPPINE GENERAL HOSPITAL,1334,LEVEL 3,"TAFT AVENUE,","ERMITA, MANILA",G,"UP-PHILIPPINE GENERAL HOSPITAL, TAFT AVENUE,, ERMITA, MANILA",up-philippine general hospital taft avenue ermita manila metro manila philippines,"UP-PHILIPPINE GENERAL HOSPITAL, TAFT AVENUE,, ERMITA, MANILA, Metro Manila, Philippines",,,,,
"VALENZUELA CITICARE MEDICAL CENTER - TIMOG HILAGA PROVIDENCE GROUP, INC.",40,LEVEL 2,"KM. 14 MC ARTHUR HIGHWAY, MALINTA,",VALENZUELA CITY,P,"VALENZUELA CITICARE MEDICAL CENTER - TIMOG HILAGA PROVIDENCE GROUP, INC., KM. 14 MC ARTHUR HIGHWAY, MALINTA,, VALENZUELA CITY",valenzuela citicare medical center - timog hilaga providence group inc. km. 14 mc arthur highway malinta valenzuela city metro manila philippines,"VALENZUELA CITICARE MEDICAL CENTER - TIMOG HILAGA PROVIDENCE GROUP, INC., KM. 14 MC ARTHUR HIGHWAY, MALINTA,, VALENZUELA CITY, Metro Manila, Philippines",,,,,
VALENZUELA CITY EMERGENCY HOSPITAL,20,INF/DISP,"G. LAZARO ST., DALANDANAN,",VALENZUELA CITY,G,"VALENZUELA CITY EMERGENCY HOSPITAL, G. LAZARO ST., DALANDANAN,, VALENZUELA CITY",valenzuela city emergency hospital g. lazaro street. dalandanan valenzuela city metro manila philippines,"VALENZUELA CITY EMERGENCY HOSPITAL, G. LAZARO ST., DALANDANAN,, VALENZUELA CITY, Metro Manila, Philippines",,,,,
VALENZUELA MEDICAL CENTER,150,LEVEL 3,"PADRIGAL ST., KARUHATAN,",VALENZUELA CITY,G,"VALENZUELA MEDICAL CENTER, PADRIGAL ST., KARUHATAN,, VALENZUELA CITY",valenzuela medical center padrigal street. karuhatan valenzuela city metro manila philippines,,14.6898788,120.978154,google,"MXQH+X72, Padrigal St, Valenzuela, 1441 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
VIAN FAMILY HOSPITAL,12,INF/DISP,"3008 GEN. T. DE LEON,",VALENZUELA CITY,P,"VIAN FAMILY HOSPITAL, 3008 GEN. T. DE LEON,, VALENZUELA CITY",vian family hospital 3008 gen. t. de leon valenzuela city metro manila philippines,"VIAN FAMILY HOSPITAL, 3008 GEN. T. DE LEON,, VALENZUELA CITY, Metro Manila, Philippines",,,,,
A. ZARATE GENERAL HOSPITAL,17,LEVEL 1,"ATLAS COMPOUND, NAGA RD.,
PULANG LUPA UNO,",LAS PIÑAS CITY,P,"A. ZARATE GENERAL HOSPITAL, ATLAS COMPOUND, NAGA RD.,
PULANG LUPA UNO,, LAS PIÑAS CITY",a. zarate general hospital atlas compound naga road. pulang lupa uno las pinas city metro manila philippines,"A. ZARATE GENERAL HOSPITAL, ATLAS COMPOUND, NAGA RD.,
PULANG LUPA UNO,, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
ADVENTIST MEDICAL CENTER MANILA,150,LEVEL 3,"#1975 DONADA ST.,",PASAY CITY,P,"ADVENTIST MEDICAL CENTER MANILA, #1975 DONADA ST.,, PASAY CITY",adventist medical center manila #1975 donada street. pasay city metro manila philippines,"ADVENTIST MEDICAL CENTER MANILA, #1975 DONADA ST.,, PASAY CITY, Metro Manila, Philippines",,,,,
AIR FORCE GENERAL HOSPITAL,100,LEVEL 2,"COLONEL JESUS VILLAMOR AIR BASE,",PASAY CITY,G,"AIR FORCE GENERAL HOSPITAL, COLONEL JESUS VILLAMOR AIR BASE,, PASAY CITY",air force general hospital colonel jesus villamor air base pasay city metro manila philippines,"AIR FORCE GENERAL HOSPITAL, COLONEL JESUS VILLAMOR AIR BASE,, PASAY CITY, Metro Manila, Philippines",,,,,
ALABANG MEDICAL CENTER,18,LEVEL 1,"ALABANG ZAPOTE ROAD,",MUNTINLUPA CITY,P,"ALABANG MEDICAL CENTER, ALABANG ZAPOTE ROAD,, MUNTINLUPA CITY",alabang medical center alabang zapote road muntinlupa city metro manila philippines,,14.4276189,121.0245304,google,"Alabang–Zapote Rd, Muntinlupa, 1771 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
ALABANG MEDICAL CLINIC,30,LEVEL 2,"90 M. L. QUEZON ST., ALABANG,",MUNTINLUPA CITY,P,"ALABANG MEDICAL CLINIC, 90 M. L. QUEZON ST., ALABANG,, MUNTINLUPA CITY",alabang medical clinic 90 m. l. quezon street. alabang muntinlupa city metro manila philippines,"ALABANG MEDICAL CLINIC, 90 M. L. QUEZON ST., ALABANG,, MUNTINLUPA CITY, Metro Manila, Philippines",,,,,
"ALABANG MEDICAL CLINIC - LAS PIÑAS
BRANCH",18,LEVEL 1,"ALABANG-ZAPOTE RD. COR. PELAYO VILLAGE, TALON,",LAS PIÑAS CITY,P,"ALABANG MEDICAL CLINIC - LAS PIÑAS
BRANCH, ALABANG-ZAPOTE RD. COR. PELAYO VILLAGE, TALON,, LAS PIÑAS CITY",alabang medical clinic - las pinas branch alabang-zapote road. cor. pelayo talon las pinas city metro manila philippines,"ALABANG MEDICAL CLINIC - LAS PIÑAS
BRANCH, ALABANG-ZAPOTE RD. COR. PELAYO VILLAGE, TALON,, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
"ALABANG MEDICAL CLINIC - MUNTINLUPA
BRANCH",25,LEVEL 1,"1 NATIONAL ROAD, PUTATAN,",MUNTINLUPA CITY,P,"ALABANG MEDICAL CLINIC - MUNTINLUPA
BRANCH, 1 NATIONAL ROAD, PUTATAN,, MUNTINLUPA CITY",alabang medical clinic - muntinlupa branch 1 national road putatan muntinlupa city metro manila philippines,"ALABANG MEDICAL CLINIC - MUNTINLUPA
BRANCH, 1 NATIONAL ROAD, PUTATAN,, MUNTINLUPA CITY, Metro Manila, Philippines",,,,,
ALFONSO SPECIALIST HOSPITAL,22,LEVEL 1,"185 DR. SIXTO ANTONIO AVE.,
ROSARIO,",PASIG CITY,P,"ALFONSO SPECIALIST HOSPITAL, 185 DR. SIXTO ANTONIO AVE.,
ROSARIO,, PASIG CITY",alfonso specialist hospital 185 dr. sixto antonio avenue. rosario pasig city metro manila philippines,,14.5901372,121.0846938,google,"185 Dr. Sixto Antonio Ave., Pasig, 1609 Metro Manila, Philippines",CLEANED|ROOFTOP
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER-PATEROS, INC.",58,LEVEL 2,"884 P. HERRERA ST., AGUHO,",PATEROS,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER-PATEROS, INC., 884 P. HERRERA ST., AGUHO,, PATEROS",allied care experts (ace) medical center-pateros inc. 884 p. herrera street. aguho pateros metro manila philippines,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER-PATEROS, INC., 884 P. HERRERA ST., AGUHO,, PATEROS, Metro Manila, Philippines",,,,,
ARMY GENERAL HOSPITAL,200,LEVEL 1,"FORT ANDRES BONIFACIO,",TAGUIG,G,"ARMY GENERAL HOSPITAL, FORT ANDRES BONIFACIO,, TAGUIG",army general hospital fort bonifacio andres bonifacio taguig metro manila philippines,"ARMY GENERAL HOSPITAL, FORT ANDRES BONIFACIO,, TAGUIG, Metro Manila, Philippines",,,,,
"ASIAN HOSPITAL, INC.",296,LEVEL 3,"2205 CIVIC DRIVE, FILINVEST
CORPORATE CITY, ALABANG",MUNTINLUPA CITY,P,"ASIAN HOSPITAL, INC., 2205 CIVIC DRIVE, FILINVEST
CORPORATE CITY, ALABANG, MUNTINLUPA CITY",asian hospital inc. 2205 civic drive filinvest corporate city alabang muntinlupa city metro manila philippines,"ASIAN HOSPITAL, INC., 2205 CIVIC DRIVE, FILINVEST
CORPORATE CITY, ALABANG, MUNTINLUPA CITY, Metro Manila, Philippines",,,,,
"BICUTAN MEDICAL CENTER, INC.",100,LEVEL 2,"191 M.L. QUEZON ST., NEW LOWER
BICUTAN",TAGUIG,P,"BICUTAN MEDICAL CENTER, INC., 191 M.L. QUEZON ST., NEW LOWER
BICUTAN, TAGUIG",bicutan medical center inc. 191 m.l. quezon street. new lower bicutan taguig metro manila philippines,"BICUTAN MEDICAL CENTER, INC., 191 M.L. QUEZON ST., NEW LOWER
BICUTAN, TAGUIG, Metro Manila, Philippines",,,,,
CALLEJO MEDICAL CLINIC,10,INF/DISP,"545-A TALON GARDEN, TALON UNO,",LAS PIÑAS CITY,P,"CALLEJO MEDICAL CLINIC, 545-A TALON GARDEN, TALON UNO,, LAS PIÑAS CITY",callejo medical clinic 545-a talon garden talon uno las pinas city metro manila philippines,"CALLEJO MEDICAL CLINIC, 545-A TALON GARDEN, TALON UNO,, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
"CHRIST THE KING MEDICAL CENTER
UNIHEALTH LAS PIÑAS, INC.",30,LEVEL 2,"130 REAL ST., PAMPLONA UNO,",LAS PIÑAS CITY,P,"CHRIST THE KING MEDICAL CENTER
UNIHEALTH LAS PIÑAS, INC., 130 REAL ST., PAMPLONA UNO,, LAS PIÑAS CITY",christ the king medical center unihealth las pinas inc. 130 real street. pamplona uno las pinas city metro manila philippines,"CHRIST THE KING MEDICAL CENTER
UNIHEALTH LAS PIÑAS, INC., 130 REAL ST., PAMPLONA UNO,, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
"CRUZ-RABE MATERNITY & GENERAL
HOSPITAL",25,LEVEL 1,"37 GEN. LUNA ST., BRGY. TUKTUKAN,",TAGUIG,P,"CRUZ-RABE MATERNITY & GENERAL
HOSPITAL, 37 GEN. LUNA ST., BRGY. TUKTUKAN,, TAGUIG",cruz-rabe maternity & general hospital 37 gen. luna street. barangay. tuktukan taguig metro manila philippines,"CRUZ-RABE MATERNITY & GENERAL
HOSPITAL, 37 GEN. LUNA ST., BRGY. TUKTUKAN,, TAGUIG, Metro Manila, Philippines",,,,,
E. ZARATE HOSPITAL,15,LEVEL 1,"16 J. AGUILAR AVENUE, TALON I,",LAS PIÑAS CITY,P,"E. ZARATE HOSPITAL, 16 J. AGUILAR AVENUE, TALON I,, LAS PIÑAS CITY",e. zarate hospital 16 j. aguilar avenue talon i las pinas city metro manila philippines,"E. ZARATE HOSPITAL, 16 J. AGUILAR AVENUE, TALON I,, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
"FOUNDATION OF OUR LADY OF PEACE MISSION, INC. (OUR LADY OF PEACE
HOSPITAL)",90,LEVEL 1,"COASTAL ROAD, BRGY. SAN DIONISIO,",PARAÑAQUE CITY,P,"FOUNDATION OF OUR LADY OF PEACE MISSION, INC. (OUR LADY OF PEACE
HOSPITAL), COASTAL ROAD, BRGY. SAN DIONISIO,, PARAÑAQUE CITY",foundation of our lady of peace mission inc. (our lady of peace hospital) coastal road barangay. san dionisio paranaque city metro manila philippines,"FOUNDATION OF OUR LADY OF PEACE MISSION, INC. (OUR LADY OF PEACE
HOSPITAL), COASTAL ROAD, BRGY. SAN DIONISIO,, PARAÑAQUE CITY, Metro Manila, Philippines",,,,,
HEALTHWAY CANCER CARE HOSPITAL,34,LEVEL 3,"LOT 26, BAGSAKAN ROAD, FTI
COMPLEX, WESTERN BICUTAN,",TAGUIG,P,"HEALTHWAY CANCER CARE HOSPITAL, LOT 26, BAGSAKAN ROAD, FTI
COMPLEX, WESTERN BICUTAN,, TAGUIG",healthway cancer care hospital 26 bagsakan road fti complex western bicutan taguig metro manila philippines,"HEALTHWAY CANCER CARE HOSPITAL, LOT 26, BAGSAKAN ROAD, FTI
COMPLEX, WESTERN BICUTAN,, TAGUIG, Metro Manila, Philippines",,,,,
HOLYLIFE HOSPITAL,28,LEVEL 1,"19 PRESIDENT QUEZON ST.,
LIFEHOMES SUBD., ROSARIO,",PASIG CITY,P,"HOLYLIFE HOSPITAL, 19 PRESIDENT QUEZON ST.,
LIFEHOMES SUBD., ROSARIO,, PASIG CITY",holylife hospital 19 president quezon street. lifehomes subd. rosario pasig city metro manila philippines,,14.5920681,121.095712,google,"Pres. Quezon, Pasig, 1609 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"LAS PIÑAS CITY MEDICAL CENTER, INC.",66,LEVEL 2,"1314 MARCOS ALVAREZ AVE., TALON
V,",LAS PIÑAS CITY,P,"LAS PIÑAS CITY MEDICAL CENTER, INC., 1314 MARCOS ALVAREZ AVE., TALON
V,, LAS PIÑAS CITY",las pinas city medical center inc. 1314 marcos alvarez avenue. talon v las pinas city metro manila philippines,"LAS PIÑAS CITY MEDICAL CENTER, INC., 1314 MARCOS ALVAREZ AVE., TALON
V,, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
"LAS PIÑAS DOCTORS HOSPITAL, INC.",130,LEVEL 3,"8009 JI AGUILAR AVE., PULANGLUPA 2,",LAS PIÑAS CITY,P,"LAS PIÑAS DOCTORS HOSPITAL, INC., 8009 JI AGUILAR AVE., PULANGLUPA 2,, LAS PIÑAS CITY",las pinas doctors hospital inc. 8009 ji aguilar avenue. pulanglupa 2 las pinas city metro manila philippines,"LAS PIÑAS DOCTORS HOSPITAL, INC., 8009 JI AGUILAR AVE., PULANGLUPA 2,, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
"LAS PIÑAS GENERAL HOSPITAL & SATELLITE
TRAUMA CENTER",200,LEVEL 3,"BERNABE COMPOUND, PULANG LUPA,",LAS PIÑAS CITY,G,"LAS PIÑAS GENERAL HOSPITAL & SATELLITE
TRAUMA CENTER, BERNABE COMPOUND, PULANG LUPA,, LAS PIÑAS CITY",las pinas general hospital & satellite trauma center bernabe compound pulang lupa las pinas city metro manila philippines,"LAS PIÑAS GENERAL HOSPITAL & SATELLITE
TRAUMA CENTER, BERNABE COMPOUND, PULANG LUPA,, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
MAKATI LIFE MEDICAL CENTER,70,LEVEL 2,"MALUGAY ST., BRGY. BEL-AIR,",MAKATI CITY,P,"MAKATI LIFE MEDICAL CENTER, MALUGAY ST., BRGY. BEL-AIR,, MAKATI CITY",makati life medical center malugay street. barangay. bel-air makati city metro manila philippines,"MAKATI LIFE MEDICAL CENTER, MALUGAY ST., BRGY. BEL-AIR,, MAKATI CITY, Metro Manila, Philippines",,,,,
MAKATI MEDICAL CENTER,600,LEVEL 3,"2 AMORSOLO ST., LEGASPI VILLAGE,",MAKATI CITY,P,"MAKATI MEDICAL CENTER, 2 AMORSOLO ST., LEGASPI VILLAGE,, MAKATI CITY",makati medical center 2 amorsolo street. legaspi makati city metro manila philippines,"MAKATI MEDICAL CENTER, 2 AMORSOLO ST., LEGASPI VILLAGE,, MAKATI CITY, Metro Manila, Philippines",,,,,
MANILA NAVAL HOSPITAL,65,LEVEL 1,"NAVAL STATION, JOSE FRANCISCO,
FORT BONIFACIO,",TAGUIG,G,"MANILA NAVAL HOSPITAL, NAVAL STATION, JOSE FRANCISCO,
FORT BONIFACIO,, TAGUIG",manila naval hospital naval station jose francisco fort bonifacio bonifacio taguig metro manila philippines,"MANILA NAVAL HOSPITAL, NAVAL STATION, JOSE FRANCISCO,
FORT BONIFACIO,, TAGUIG, Metro Manila, Philippines",,,,,
"MEDICAL CENTER MUNTINLUPA, INC.",100,LEVEL 2,"38 NATIONAL ROAD, PUTATAN,",MUNTINLUPA CITY,P,"MEDICAL CENTER MUNTINLUPA, INC., 38 NATIONAL ROAD, PUTATAN,, MUNTINLUPA CITY",medical center muntinlupa inc. 38 national road putatan muntinlupa city metro manila philippines,"MEDICAL CENTER MUNTINLUPA, INC., 38 NATIONAL ROAD, PUTATAN,, MUNTINLUPA CITY, Metro Manila, Philippines",,,,,
"MEDICAL CENTER OF TAGUIG CITY, INC.",80,LEVEL 2,"LOT 1B LEVI B. MARIANO AVENUE,
BRGY. USUSAN,",TAGUIG,P,"MEDICAL CENTER OF TAGUIG CITY, INC., LOT 1B LEVI B. MARIANO AVENUE,
BRGY. USUSAN,, TAGUIG",medical center of taguig city inc. 1b levi b. mariano avenue barangay. ususan taguig metro manila philippines,,14.5308767,121.0653207,google,"Levi B. Mariano Ave, Taguig, 1630 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"MEDICAL CENTER PARAÑAQUE, INC.",56,LEVEL 2,"DR. A. SANTOS AVE., SUCAT,",PARAÑAQUE CITY,P,"MEDICAL CENTER PARAÑAQUE, INC., DR. A. SANTOS AVE., SUCAT,, PARAÑAQUE CITY",medical center paranaque inc. dr. a. santos avenue. sucat paranaque city metro manila philippines,"MEDICAL CENTER PARAÑAQUE, INC., DR. A. SANTOS AVE., SUCAT,, PARAÑAQUE CITY, Metro Manila, Philippines",,,,,
MISSION HOSPITAL,30,LEVEL 1,"KM. 17 ORTIGAS AVENUE EXTENSION,
ROSARIO,",PASIG CITY,P,"MISSION HOSPITAL, KM. 17 ORTIGAS AVENUE EXTENSION,
ROSARIO,, PASIG CITY",mission hospital km. 17 ortigas avenue extension rosario pasig city metro manila philippines,"MISSION HOSPITAL, KM. 17 ORTIGAS AVENUE EXTENSION,
ROSARIO,, PASIG CITY, Metro Manila, Philippines",,,,,
"OLIVAREZ GENERAL HOSPITAL, INC.",50,LEVEL 1,"DR. A. SANTOS AVENUE, SUCAT ROAD,",PARAÑAQUE CITY,P,"OLIVAREZ GENERAL HOSPITAL, INC., DR. A. SANTOS AVENUE, SUCAT ROAD,, PARAÑAQUE CITY",olivarez general hospital inc. dr. a. santos avenue sucat road paranaque city metro manila philippines,"OLIVAREZ GENERAL HOSPITAL, INC., DR. A. SANTOS AVENUE, SUCAT ROAD,, PARAÑAQUE CITY, Metro Manila, Philippines",,,,,
OSPITAL NG MAKATI,300,LEVEL 3,"SAMPAGUITA ST. COR. GUMAMELA
ST., BRGY. PEMBO,",TAGUIG,G,"OSPITAL NG MAKATI, SAMPAGUITA ST. COR. GUMAMELA
ST., BRGY. PEMBO,, TAGUIG",ospital ng makati sampaguita street. cor. gumamela street. barangay. pembo taguig metro manila philippines,"OSPITAL NG MAKATI, SAMPAGUITA ST. COR. GUMAMELA
ST., BRGY. PEMBO,, TAGUIG, Metro Manila, Philippines",,,,,
OSPITAL NG MUNTINLUPA,206,LEVEL 3,"CIVIC DRIVE, FILINVEST CORPORATE
CITY, ALABANG,",MUNTINLUPA CITY,G,"OSPITAL NG MUNTINLUPA, CIVIC DRIVE, FILINVEST CORPORATE
CITY, ALABANG,, MUNTINLUPA CITY",ospital ng muntinlupa civic drive filinvest corporate city alabang muntinlupa city metro manila philippines,"OSPITAL NG MUNTINLUPA, CIVIC DRIVE, FILINVEST CORPORATE
CITY, ALABANG,, MUNTINLUPA CITY, Metro Manila, Philippines",,,,,
OSPITAL NG PARAÑAQUE,83,LEVEL 1,"440 QUIRINO AVE., LA HUERTA,",PARAÑAQUE CITY,G,"OSPITAL NG PARAÑAQUE, 440 QUIRINO AVE., LA HUERTA,, PARAÑAQUE CITY",ospital ng paranaque 440 quirino avenue. la huerta paranaque city metro manila philippines,,14.5004142,120.9911214,google,"GX2R+5C9, Quirino Ave, Parañaque, 1700 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
OSPITAL NG PARAÑAQUE DISTRICT II,70,LEVEL 1,"NO. 187 TAIWAN EXTENSION CORNER DOÑA SOLEDAD AVE., DON BOSCO,",PARAÑAQUE CITY,G,"OSPITAL NG PARAÑAQUE DISTRICT II, NO. 187 TAIWAN EXTENSION CORNER DOÑA SOLEDAD AVE., DON BOSCO,, PARAÑAQUE CITY",ospital ng paranaque district ii no. 187 taiwan extension corner dona soledad avenue. don bosco paranaque city metro manila philippines,"OSPITAL NG PARAÑAQUE DISTRICT II, NO. 187 TAIWAN EXTENSION CORNER DOÑA SOLEDAD AVE., DON BOSCO,, PARAÑAQUE CITY, Metro Manila, Philippines",,,,,
"PAMPLONA HOSPITAL AND MEDICAL CENTER
INC.",48,LEVEL 2,"46 ZAPOTE-ALABANG ROAD,
PAMPLONA",LAS PIÑAS CITY,P,"PAMPLONA HOSPITAL AND MEDICAL CENTER
INC., 46 ZAPOTE-ALABANG ROAD,
PAMPLONA, LAS PIÑAS CITY",pamplona hospital and medical center inc. 46 zapote-alabang road pamplona las pinas city metro manila philippines,"PAMPLONA HOSPITAL AND MEDICAL CENTER
INC., 46 ZAPOTE-ALABANG ROAD,
PAMPLONA, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
PASAY CITY GENERAL HOSPITAL,150,LEVEL 3,"P. BURGOS ST.,",PASAY CITY,G,"PASAY CITY GENERAL HOSPITAL, P. BURGOS ST.,, PASAY CITY",pasay city general hospital p. burgos street. pasay city metro manila philippines,"PASAY CITY GENERAL HOSPITAL, P. BURGOS ST.,, PASAY CITY, Metro Manila, Philippines",,,,,
"PASIG CITY CHILDREN'S HOSPITAL - CHILD'S
HOPE",64,LEVEL 2,"INDUSTRIA ST., COR. ALCALDE JOSE ST.,
KAPASIGAN,",PASIG CITY,G,"PASIG CITY CHILDREN'S HOSPITAL - CHILD'S
HOPE, INDUSTRIA ST., COR. ALCALDE JOSE ST.,
KAPASIGAN,, PASIG CITY",pasig city children's hospital - child's hope industria street. cor. alcalde jose street. kapasigan pasig city metro manila philippines,"PASIG CITY CHILDREN'S HOSPITAL - CHILD'S
HOPE, INDUSTRIA ST., COR. ALCALDE JOSE ST.,
KAPASIGAN,, PASIG CITY, Metro Manila, Philippines",,,,,
PASIG CITY GENERAL HOSPITAL,200,LEVEL 3,"M. EUSEBIO AVENUE, MAYBUNGA,",PASIG CITY,G,"PASIG CITY GENERAL HOSPITAL, M. EUSEBIO AVENUE, MAYBUNGA,, PASIG CITY",pasig city general hospital m. eusebio avenue maybunga pasig city metro manila philippines,"PASIG CITY GENERAL HOSPITAL, M. EUSEBIO AVENUE, MAYBUNGA,, PASIG CITY, Metro Manila, Philippines",,,,,
PASIG DOCTORS MEDICAL CENTER INC.,66,LEVEL 2,"254 AMANG RODRIGUEZ AVENUE,
MANGGAHAN,",PASIG CITY,P,"PASIG DOCTORS MEDICAL CENTER INC., 254 AMANG RODRIGUEZ AVENUE,
MANGGAHAN,, PASIG CITY",pasig doctors medical center inc. 254 amang rodriguez avenue manggahan pasig city metro manila philippines,"PASIG DOCTORS MEDICAL CENTER INC., 254 AMANG RODRIGUEZ AVENUE,
MANGGAHAN,, PASIG CITY, Metro Manila, Philippines",,,,,
"POPE JOHN PAUL II HOSPITAL AND MEDICAL
CENTER, INC.",100,LEVEL 2,"545 ALABANG-ZAPOTE ROAD, TALON III",LAS PIÑAS CITY,P,"POPE JOHN PAUL II HOSPITAL AND MEDICAL
CENTER, INC., 545 ALABANG-ZAPOTE ROAD, TALON III, LAS PIÑAS CITY",pope john paul ii hospital and medical center inc. 545 alabang-zapote road talon iii las pinas city metro manila philippines,"POPE JOHN PAUL II HOSPITAL AND MEDICAL
CENTER, INC., 545 ALABANG-ZAPOTE ROAD, TALON III, LAS PIÑAS CITY, Metro Manila, Philippines",,,,,
"RECUENCO GENERAL HOSPITAL, INC.",12,LEVEL 1,"68 SAMPALOC EXTENSION, NORTH
SIGNAL VILLAGE,",TAGUIG,P,"RECUENCO GENERAL HOSPITAL, INC., 68 SAMPALOC EXTENSION, NORTH
SIGNAL VILLAGE,, TAGUIG",recuenco general hospital inc. 68 sampaloc extension north signal taguig metro manila philippines,"RECUENCO GENERAL HOSPITAL, INC., 68 SAMPALOC EXTENSION, NORTH
SIGNAL VILLAGE,, TAGUIG, Metro Manila, Philippines",,,,,
"RESEARCH INSTITUTE FOR TROPICAL
MEDICINE",50,LEVEL 3,"9002 RESEARCH DRIVE, FILINVEST CORPORATE CITY, ALABANG,",MUNTINLUPA CITY,G,"RESEARCH INSTITUTE FOR TROPICAL
MEDICINE, 9002 RESEARCH DRIVE, FILINVEST CORPORATE CITY, ALABANG,, MUNTINLUPA CITY",research institute for tropical medicine 9002 research drive filinvest corporate city alabang muntinlupa city metro manila philippines,"RESEARCH INSTITUTE FOR TROPICAL
MEDICINE, 9002 RESEARCH DRIVE, FILINVEST CORPORATE CITY, ALABANG,, MUNTINLUPA CITY, Metro Manila, Philippines",,,,,
RIZAL MEDICAL CENTER,300,LEVEL 3,"PASIG BOULEVARD, BAGONG ILOG,",PASIG CITY,G,"RIZAL MEDICAL CENTER, PASIG BOULEVARD, BAGONG ILOG,, PASIG CITY",rizal medical center pasig boulevard bagong ilog pasig city metro manila philippines,,14.5638837,121.0660877,google,"Pasig Blvd, Pasig, 1600 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"SALVE REGINA GENERAL HOSPITAL, INC.",50,LEVEL 1,"LOT A2A, MARCOS HIGHWAY, DELA
PAZ,",PASIG CITY,P,"SALVE REGINA GENERAL HOSPITAL, INC., LOT A2A, MARCOS HIGHWAY, DELA
PAZ,, PASIG CITY",salve regina general hospital inc. a2a marcos highway dela paz pasig city metro manila philippines,,14.6199475,121.0963324,google,"J39W+XGG, Marikina-Infanta Hwy, Pasig, 1800 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"SAN JUAN DE DIOS EDUCATIONAL
FOUNDATION, INC.",230,LEVEL 3,"2772 ROXAS BLVD.,",PASAY CITY,P,"SAN JUAN DE DIOS EDUCATIONAL
FOUNDATION, INC., 2772 ROXAS BLVD.,, PASAY CITY",san juan de dios educational foundation inc. 2772 roxas boulevard. pasay city metro manila philippines,"SAN JUAN DE DIOS EDUCATIONAL
FOUNDATION, INC., 2772 ROXAS BLVD.,, PASAY CITY, Metro Manila, Philippines",,,,,
SOUTH SUPERHIGHWAY MEDICAL CENTER,50,LEVEL 2,"KM.17, WEST SERVICE ROAD, BRGY. MARCELO,",PARAÑAQUE CITY,P,"SOUTH SUPERHIGHWAY MEDICAL CENTER, KM.17, WEST SERVICE ROAD, BRGY. MARCELO,, PARAÑAQUE CITY",south superhighway medical center km.17 west service road barangay. marcelo paranaque city metro manila philippines,"SOUTH SUPERHIGHWAY MEDICAL CENTER, KM.17, WEST SERVICE ROAD, BRGY. MARCELO,, PARAÑAQUE CITY, Metro Manila, Philippines",,,,,
ST. CAMILLUS MEDICAL CENTER,24,LEVEL 2,"116 E. AMANG RODRIGUEZ AVENUE,
SANTOLAN,",PASIG CITY,P,"ST. CAMILLUS MEDICAL CENTER, 116 E. AMANG RODRIGUEZ AVENUE,
SANTOLAN,, PASIG CITY",street. camillus medical center 116 e. amang rodriguez avenue santolan pasig city metro manila philippines,"ST. CAMILLUS MEDICAL CENTER, 116 E. AMANG RODRIGUEZ AVENUE,
SANTOLAN,, PASIG CITY, Metro Manila, Philippines",,,,,
"ST. CHRISTIANA HOSPITAL, INC.",10,LEVEL 1,"3338 KAGINHAWAAN RD., KARANGALAN VILLAGE, MANGGAHAN,",PASIG CITY,P,"ST. CHRISTIANA HOSPITAL, INC., 3338 KAGINHAWAAN RD., KARANGALAN VILLAGE, MANGGAHAN,, PASIG CITY",street. christiana hospital inc. 3338 kaginhawaan road. karangalan manggahan pasig city metro manila philippines,"ST. CHRISTIANA HOSPITAL, INC., 3338 KAGINHAWAAN RD., KARANGALAN VILLAGE, MANGGAHAN,, PASIG CITY, Metro Manila, Philippines",,,,,
"ST. CLARE'S MEDICAL CENTER, INC.",27,LEVEL 2,"1838 DIAN ST.,  PALANAN,",MAKATI CITY,P,"ST. CLARE'S MEDICAL CENTER, INC., 1838 DIAN ST.,  PALANAN,, MAKATI CITY",street. clare's medical center inc. 1838 dian street. palanan makati city metro manila philippines,"ST. CLARE'S MEDICAL CENTER, INC., 1838 DIAN ST.,  PALANAN,, MAKATI CITY, Metro Manila, Philippines",14.5630214,121.0013216,google,"1838 Dian St, Makati City, 1235 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
